DATE,thousand_megawatthours,source_key
2015-06-01,2558,ELEC.GEN.SUN-US-99.M
2015-07-01,2627,ELEC.GEN.SUN-US-99.M
2015-08-01,2688,ELEC.GEN.SUN-US-99.M
2015-09-01,2217,ELEC.GEN.SUN-US-99.M
2015-10-01,1910,ELEC.GEN.SUN-US-99.M
2015-11-01,1730,ELEC.GEN.SUN-US-99.M
2015-12-01,1570,ELEC.GEN.SUN-US-99.M
2016-01-01,1486,ELEC.GEN.SUN-US-99.M
2016-02-01,2242,ELEC.GEN.SUN-US-99.M
2016-03-01,2617,ELEC.GEN.SUN-US-99.M
2016-04-01,2880,ELEC.GEN.SUN-US-99.M
2016-05-01,3425,ELEC.GEN.SUN-US-99.M
2016-06-01,3473,ELEC.GEN.SUN-US-99.M
2016-07-01,3945,ELEC.GEN.SUN-US-99.M
2016-08-01,3969,ELEC.GEN.SUN-US-99.M
2016-09-01,3635,ELEC.GEN.SUN-US-99.M
2016-10-01,3191,ELEC.GEN.SUN-US-99.M
2016-11-01,2767,ELEC.GEN.SUN-US-99.M
2016-12-01,2424,ELEC.GEN.SUN-US-99.M
2017-01-01,2324,ELEC.GEN.SUN-US-99.M
2017-02-01,2751,ELEC.GEN.SUN-US-99.M
2017-03-01,4514,ELEC.GEN.SUN-US-99.M
2017-04-01,4907,ELEC.GEN.SUN-US-99.M
2017-05-01,5785,ELEC.GEN.SUN-US-99.M
2017-06-01,6115,ELEC.GEN.SUN-US-99.M
2017-07-01,5569,ELEC.GEN.SUN-US-99.M
2017-08-01,5369,ELEC.GEN.SUN-US-99.M
2017-09-01,5059,ELEC.GEN.SUN-US-99.M
2017-10-01,4650,ELEC.GEN.SUN-US-99.M
2017-11-01,3209,ELEC.GEN.SUN-US-99.M
2017-12-01,3035,ELEC.GEN.SUN-US-99.M
2018-01-01,3319,ELEC.GEN.SUN-US-99.M
2018-02-01,3896,ELEC.GEN.SUN-US-99.M
2018-03-01,5056,ELEC.GEN.SUN-US-99.M
2018-04-01,6057,ELEC.GEN.SUN-US-99.M
2018-05-01,6849,ELEC.GEN.SUN-US-99.M
2018-06-01,7415,ELEC.GEN.SUN-US-99.M
2018-07-01,6755,ELEC.GEN.SUN-US-99.M
2018-08-01,6695,ELEC.GEN.SUN-US-99.M
2018-09-01,5961,ELEC.GEN.SUN-US-99.M
2018-10-01,4970,ELEC.GEN.SUN-US-99.M
2018-11-01,3743,ELEC.GEN.SUN-US-99.M
2018-12-01,3110,ELEC.GEN.SUN-US-99.M
2019-01-01,3580,ELEC.GEN.SUN-US-99.M
2019-02-01,3836,ELEC.GEN.SUN-US-99.M
2019-03-01,5899,ELEC.GEN.SUN-US-99.M
2019-04-01,6752,ELEC.GEN.SUN-US-99.M
2019-05-01,7162,ELEC.GEN.SUN-US-99.M
2019-06-01,7971,ELEC.GEN.SUN-US-99.M
2019-07-01,8133,ELEC.GEN.SUN-US-99.M
2019-08-01,7877,ELEC.GEN.SUN-US-99.M
2019-09-01,6817,ELEC.GEN.SUN-US-99.M
2019-10-01,6093,ELEC.GEN.SUN-US-99.M
2019-11-01,4364,ELEC.GEN.SUN-US-99.M
2019-12-01,3453,ELEC.GEN.SUN-US-99.M
2020-01-01,4690,ELEC.GEN.SUN-US-99.M
2020-02-01,5717,ELEC.GEN.SUN-US-99.M
2020-03-01,6434,ELEC.GEN.SUN-US-99.M
2020-04-01,8048,ELEC.GEN.SUN-US-99.M
2020-05-01,9734,ELEC.GEN.SUN-US-99.M
2020-06-01,9529,ELEC.GEN.SUN-US-99.M
2020-07-01,10379,ELEC.GEN.SUN-US-99.M
2020-08-01,9370,ELEC.GEN.SUN-US-99.M
